0,Suburb,id,,
Hallam,,,,glenroy-vic-3046
Hamilton,,,,gordon-vic-3345
Hamlyn Heights,,,,goroke-vic-3412
Hampton,,,,greensborough-vic-3088
Hampton Park,,,,greenvale-vic-3059
Hansonville,,,,grovedale-vic-3216
Harkaway,,,,hadfield-vic-3046
Hastings,,,,hallam-vic-3803
Hawthorn,,,,hamilton-vic-3300
Hawthorn East,,,,hamlyn-heights-vic-3215
Healesville,,,,hampton-vic-3188
Heidelberg Heights,,,,hampton-park-vic-3976
Heidelberg West,,,,hansonville-vic-3675
Hepburn Springs,,,,harkaway-vic-3806
Herne Hill,,,,hastings-vic-3915
Highett,,,,hawthorn-vic-3122
Highton,,,,hawthorn-east-vic-3123
Hillside,,,,healesville-vic-3777
Hoppers Crossing,,,,heidelberg-heights-vic-3081
Horsham,,,,heidelberg-west-vic-3081
Indented Head,,,,hepburn-springs-vic-3461
Inverloch,,,,herne-hill-vic-3218
Invermay Park,,,,highett-vic-3190
Irymple,,,,highton-vic-3216
Ivanhoe,,,,hillside-vic-3875
Kalkallo,,,,hoppers-crossing-vic-3029
Kangaroo Flat,,,,horsham-vic-3400
Kangaroo Ground,,,,huntly-vic-3551
Katunga,,,,indented-head-vic-3223
Kealba,,,,inverloch-vic-3996
Keilor,,,,invermay-park-vic-3350
Kennington,,,,irymple-vic-3498
Kerang,,,,ivanhoe-vic-3079
Keysborough,,,,ivanhoe-east-vic-3079
Kialla,,,,junortoun-vic-3551
Kilmore,,,,kalkallo-vic-3064
Kilsyth,,,,kangaroo-flat-vic-3555
Kingsville,,,,kangaroo-ground-vic-3097
Korumburra,,,,katunga-vic-3640
Kyabram,,,,kealba-vic-3021
Lake Gardens,,,,keilor-vic-3036
Lake Tyers Beach,,,,kennington-vic-3550
Lalor,,,,kerang-vic-3579
Lancefield,,,,keysborough-vic-3173
Langwarrin,,,,kialla-vic-3631
Lara,,,,kilmore-vic-3764
Laverton,,,,kilsyth-vic-3137
Leongatha,,,,kingsville-vic-3012
Leongatha South,,,,korumburra-vic-3950
Leopold,,,,kyabram-vic-3620
Lilydale,,,,kyneton-vic-3444
Loch Sport,,,,lake-gardens-vic-3355
Long Gully,,,,lake-tyers-beach-vic-3909
Longwarry,,,,lalor-vic-3075
Lorne,,,,lancefield-vic-3435
Lucas,,,,langwarrin-vic-3910
Lynbrook,,,,lara-vic-3212
Macedon,,,,laverton-vic-3028
Maddingley,,,,leongatha-vic-3953
Maffra,,,,leongatha-south-vic-3953
Maiden Gully,,,,leopold-vic-3224
